unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M3621,14.75367400370136,14.61040502954562,0.14326897415574003,medium,Macro
M36228,1.4154904241619617,1.2779188570749929,0.13757156708696883,cold_start,Industry
M36230,4.882643525785634,5.00429475316127,-0.1216512273756356,medium,Industry
M36259,2.0579469085432773,1.726736772875969,0.3312101356673083,short,Industry
M36528,1.4894457675071666,1.7021350896381497,-0.21268932213098313,medium,Industry
M36594,1.0231887158827426,1.3645806375056784,-0.34139192162293575,short,Industry
M37259,2.2737852462341794,3.102683498124428,-0.8288982518902483,long_history,Finance
M37332,1.004782522512462,0.9495682314765262,0.05521429103593578,medium,Finance
M37406,1.1170177909409333,1.155207096882436,-0.038189305941502605,short,Finance
M37468,1.0532686435457044,1.2762995147958704,-0.22303087125016607,medium,Finance
M37545,0.6838327606005785,0.5653381932537361,0.11849456734684238,medium,Finance
M37680,1.4164732815398806,1.3718441413051916,0.044629140234689,short,Finance
M377,4.351596961203693,4.5778861320983495,-0.22628917089465617,medium,Macro
M37853,5.144243646992051,4.37024523039439,0.773998416597661,medium,Finance
M37954,3.07910349103559,2.758044434418723,0.32105905661686673,long_history,Finance
M38081,2.5044699945543485,2.1627848401571845,0.34168515439716396,long_history,Finance
M38144,2.3301516124021053,2.1710964233702987,0.1590551890318066,long_history,Finance
M38169,2.180143223638886,1.7938975936313877,0.3862456300074981,long_history,Finance
M38259,1.2089316546190505,1.3885158184499067,-0.17958416383085618,long_history,Finance
M38308,1.5000706694083312,1.4123893289353369,0.08768134047299436,long_history,Finance
M38372,2.628961041947154,2.309397141129431,0.3195639008177231,long_history,Finance
M3840,50.689245687622495,48.32806527827923,2.3611804093432625,long_history,Macro
M38425,0.877772806704462,0.8378388996258047,0.039933907078657294,long_history,Finance
M38441,3.8117047986295347,3.2787259306944274,0.5329788679351073,long_history,Finance
M38482,0.43335349622961583,0.5591805742565282,-0.1258270780269124,long_history,Finance
M38684,15.2505520529047,14.800789362519051,0.44976269038564887,long_history,Finance
M38724,10.412669151403676,10.419812854095891,-0.0071437026922147595,long_history,Finance
M39182,1.5060707272443483,1.5578900171702084,-0.051819289925860046,short,Finance
M3926,18.388011545824394,15.970486094734765,2.417525451089629,long_history,Macro
M39521,10.967410961728575,13.226061065765245,-2.25865010403667,medium,Finance
M39602,7.035909068132844,6.3272640755132405,0.708644992619603,cold_start,Finance
M39954,3.2651057038481173,5.307084918258347,-2.04197921441023,cold_start,Finance
M39970,3.9545442584078416,4.552320172909799,-0.5977759145019577,cold_start,Finance
M39988,10.163679136269375,9.673453985493845,0.49022515077552953,cold_start,Finance
M40079,2.416762212091049,2.2457826005948203,0.17097961149622876,short,Finance
M40144,9.981691957552135,9.217317076745712,0.7643748808064235,medium,Finance
M40258,28.883901989295047,26.670735149006475,2.2131668402885722,cold_start,Finance
M40344,12.87205604398184,11.336055027007033,1.5360010169748062,long_history,Finance
M40698,7.582674736403633,8.573806016982841,-0.9911312805792081,short,Finance
M40721,2.4995368071160846,2.824328640485412,-0.3247918333693276,cold_start,Finance
M40768,3.2576593471456636,3.584620328143109,-0.3269609809974452,long_history,Finance
M40818,1.2135204386306713,1.2754759159395328,-0.06195547730886153,medium,Finance
M40910,6.094638254682564,8.689486412115382,-2.5948481574328186,medium,Finance
M40919,11.069254620482056,10.895119583398422,0.17413503708363365,medium,Finance
M40939,4.731961389596809,4.9072986838115025,-0.17533729421469335,medium,Finance
M40988,2.384928597948298,2.3131262946354947,0.07180230331280324,medium,Finance
M41157,2.7000633586818896,2.9391630270984552,-0.2390996684165656,medium,Finance
M41414,9.417466839198859,8.7467906473907,0.670676191808159,medium,Finance
